"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","45373","samp. 2","CLAY","PALAGONITE","BASALT",29.45,3.68,17.12,0,22.31,1.7,1.38,0.08,0.11,0.22,0.23,18,0,0.08,0.07,0,0,0,0,0,0,0
"2","45374","samp. 3","CLAY","PALAGONITE","BASALT",24.5,3.58,19.96,0,22.33,1.51,1.94,0.19,0.08,0.23,0.23,18.6,0,0.07,0,0,0,0,0,0,0,0
"3","45375","samp. 4","CLAY","PALAGONITE","BASALT",34.57,3.23,15.64,0,18.38,2.06,2.79,0.11,0.12,0.22,0.12,18,0,0.07,0,0,0,0,0,0,0,0
"4","45376","samp. 1","CLAY","PALAGONITE","BASALT, ALKALINE",47.7,4.1,9.3,0,15.25,5.4,1.7,0.04,0.3,0.3,0.28,12.67,0,0.2,0.27,0,0,0,0,0,0,0
"5","45377","samp. 2","CLAY","PALAGONITE","BASALT, ALKALINE",41.8,4.3,9,0.03,17.46,2.5,7.8,0.11,1,0.7,0.15,12.67,0,0.2,0.35,0,0,0,0,0,0,0
"6","45378","samp. 3","CLAY","PALAGONITE","BASALT, ALKALINE",36.9,4.6,8.4,0.18,21.21,3.7,1.2,0.14,0.44,0.01,0.16,20.9,0,0.2,0.02,0,0,0,0,0,0,0
"7","45379","samp. 4","CLAY","PALAGONITE","BASALT, ALKALINE",41.4,4.1,7.2,0,15.1,3.5,6,0.03,3,0.2,0.44,12.67,0,0.08,0.27,0,0,0,0,0,0,0
"8","45380","samp. 5","CLAY","PALAGONITE","BASALT, ALKALINE",49.4,5,5.5,0.11,11.15,6.1,2.7,0.08,2.9,0.05,0.28,12.67,0,0.08,0.05,0,0,0,0,0,0,0
"9","45381","samp. 6","CLAY","PALAGONITE","THOLEIITE",45.5,3.7,10.8,0.02,16.85,2.4,3.8,0.03,0.26,0.1,0.23,20.9,0,0.07,0.34,0,0,0,0,0,0,0
"10","45393","samp. A7-53-12","CLAY","SAPONITE","BASALT, ALKALINE",46.3,7.73,0,0,15.1,0.3,14.6,0.15,2.37,1.01,0.02,28.05,0,0.07,0.05,0,0,0,0,0,0,0
"11","45394","samp. A7-55-25","CLAY","SAPONITE","BASALT, TRANSITIONAL",44.5,0.46,6.1,0.06,12.3,0.38,6.8,0.07,3.59,1,0.07,11.31,0,0.08,0.41,0,0,0,0,0,0,0
"12","45395","samp. A7-55-29","CLAY","SAPONITE","THOLEIITE",48,0.09,2.1,0.04,10.1,0.43,17.8,0.07,2.2,0.87,0.02,11.13,0,0.07,0.11,0,0,0,0,0,0,0
"13","45396","samp. A7-51-20","CLAY","MONTMORILLONITE","BASALT, ALKALINE",21.5,2.9,6.4,0,17.3,22.5,1.1,0.49,1.66,1.85,0.47,18,0,0.08,0.02,0,0,0,0,0,0,0
"14","45397","samp. A7-51-20","CLAY","MONTMORILLONITE","BASALT, ALKALINE",38.3,1.4,9.6,0.18,11.4,19.8,1.2,0.39,1.81,4.02,0.47,21.4,0,0.08,0.36,0,0,0,0,0,0,0
"15","45398","samp. A7-51-20","CLAY","MONTMORILLONITE","BASALT, ALKALINE",42.3,1.9,10.8,0,13.7,13.1,1.6,0.08,2.31,4.07,0.43,11.91,0,0.07,0.41,0,0,0,0,0,0,0
"16","45399","samp. A7-51-21","CLAY","MONTMORILLONITE","BASALT, ALKALINE",41.7,1.3,12.1,0.06,9.1,15.9,0.6,0.11,2.19,4.47,0.03,16.99,0,0.07,0.33,0,0,0,0,0,0,0
"17","45400","samp. A7-51-21","CLAY","MONTMORILLONITE","BASALT, ALKALINE",32.2,3.6,6.6,0,17.1,16.3,1.8,0,1.72,1.56,0.29,21.4,0,0.2,0.27,0,0,0,0,0,0,0
"18","45401","samp. A7-51-21","CLAY","MONTMORILLONITE","BASALT, ALKALINE",50,0,9.9,0,16.4,0.61,2.6,0.09,3.41,0.71,0.05,12.67,0,0.08,0.02,0,0,0,0,0,0,0
"19","45402","samp. A7-52-50","CLAY","MONTMORILLONITE","BASALT, ALKALINE",49.6,0.05,16.6,0,1.3,3.48,0,0.04,3.99,4.67,0.06,28.05,0,0.2,0.13,0,0,0,0,0,0,0
"20","45403","samp. A7-53-11","CLAY","MONTMORILLONITE","BASALT, ALKALINE",59.4,0.3,16.3,0.03,3.9,3.53,1.1,0,4.66,5.86,0.13,16.99,0,0.07,0.23,0,0,0,0,0,0,0
